timestamp,age_range,gender,country,referral_source,years_experience,track_applied,weekly_commitment_hours,main_aim,motivation,skill_level,aptitude_test_completed,total_score,graduated
2024-12-02 16:11:30,18-24 years,Female,Kenya,Word of mouth,Less than six months,Data science,7-14 hours,Learn afresh,I intend to do a masters in genetic engineering and a good understanding of data would enable me to learn with ease and enable me to have better understanding of the degree as scientific work involves a lot of data analysis and interpretation.,Beginner,Yes,66.33,No
2024-12-01 18:49:03,18-24 years,Female,Kenya,through a geeks for geeks webinar,Less than six months,Data science,7-14 hours,Upskill,Joining the Everything Data Mentorship program aligns with my goal of building expertise in Data science and machine learning while exploring real world applications. It's also a chance to network with my fellow peers and other industrial experts,Elementary,Yes,74.33,Yes
2024-12-02 23:41:04,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,To learn a new skill so as to supplement my engineering skills,Beginner,Yes,69.67,No
2024-12-03 20:23:34,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Portfolio,To make predictive models,Beginner,Yes,67.0,No
2024-11-28 18:20:02,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,less than 6 hours,Upskill,I am a Computer Science student eager to gain practical data science skills through mentorship.,Beginner,Yes,70.67,Yes
2024-12-02 01:55:38,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,The world is fast embracing IT and Tech to provide a variety of solutions to modern-day problems. I am inclined to learn Data Science to equip myself with the necessary skills and knowledge to go about it. I am grateful for this chance to be on board,Beginner,Yes,65.0,No
2024-12-01 12:40:47,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,My motivation to join is brought about by the free chance and platform where I can learn DS afresh. I need to upskill myself and put myself in a path where i can be able to make a living via Data Science.,Elementary,Yes,61.67,No
2024-12-03 10:11:01,18-24 years,Female,Kenya,Instagram,Less than six months,Data science,7-14 hours,Upskill,"By enrolling in the Everything Data mentorship program, I hope to close the knowledge gap I have in economics and statistics, develop advanced data analytics abilities, make wise decisions, and develop into a dynamic and creative finance expert.",Beginner,Yes,64.0,No
2024-12-03 16:00:30,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,"Thank you so much for this opportunity. I am in a space of building my career in tech, and this is a great opportunity to advance in tech. I will be so greatful given the opportunity",Beginner,Yes,61.33,No
2024-12-01 21:44:14,18-24 years,Female,Kenya,WhatsApp,1-3 years,Data science,7-14 hours,Upskill,I have had the greatest need to want to upskill to the next level in data which is data science. I happened to stumble upon this great chance to not only be taught but to also receive mentorship in the data science field which is really amazing.,Elementary,Yes,65.33,No
2024-11-29 12:54:58,18-24 years,Male,Kenya,LinkedIn,Less than six months,Data science,more than 14 hours,Learn afresh,’m eager to join the Everything Data mentorship program to enhance my data analysis skills and learn from experienced mentors. I believe this opportunity will help me grow professionally and apply data-driven solutions to real-world challenges.,Beginner,Yes,66.33,Yes
2024-12-03 12:52:23,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,To learn more on Data,Beginner,Yes,65.0,No
2024-11-27 12:00:40,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data science,less than 6 hours,Upskill,I want to have a starting point in this field as well as connect with a mentor,Elementary,Yes,73.33,No
2024-12-02 17:25:08,25-34 years,Female,Kenya,Twitter,4-6 years,Data science,7-14 hours,Upskill,"Numbers speak to me and I would like to learn more on how to tell stories using numbers. I have a great passion for being a part of decision making by looking at trends and finding a pattern. I believe where we are headed, data is everything.",Intermediate,Yes,66.33,Yes
2024-12-02 10:54:13,18-24 years,Female,Kenya,WhatsApp,6 months - 1 year,Data science,7-14 hours,Learn afresh,"I seek to join the data mentorship program to build skills, gain real-world experience, and get expert guidance. Aligned with my goals, I’m passionate about data’s impact and eager to connect with professionals while contributing meaningfully.",Intermediate,Yes,64.0,No
2024-12-03 17:47:40,18-24 years,Female,Kenya,WhatsApp,4-6 years,Data science,7-14 hours,Upskill,"What used to be a foreign discipline, data science, has now fascinated me and is now something I want to develop further and use its capability to help deal with practical problems, particularly in geospatial applications.",Elementary,Yes,77.67,Yes
2024-11-28 16:01:26,25-34 years,Female,Kenya,Twitter,Less than six months,Data science,7-14 hours,Upskill,I've seen data’s power to tackle challenges like youth unemployment. I aim to deepen my skills to analyze trends and create opportunities. This course offers the knowledge I need to drive change and craft solutions in HR for a more equitable society.,Elementary,Yes,83.67,No
2024-12-03 13:56:52,18-24 years,Female,Kenya,LinkedIn,6 months - 1 year,Data science,more than 14 hours,Upskill,"My interests lie in using data to improve healthcare, focusing on precision medicine. I gained skills in UNIX, Bash, R, and HPCs.Learning Python to broaden my skills currently. This mentorship will help bridge my transition to health data science.",Elementary,Yes,60.33,No
2024-11-27 16:12:58,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data science,7-14 hours,Upskill,"I am passionate about data science and eager to join the mentorship program to enhance my skills, gain insights from industry leaders, and collaborate with peers. My goal is to leverage data for impactful solutions and drive positive change.",Intermediate,Yes,63.0,Yes
2024-12-03 15:42:25,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,less than 6 hours,Upskill,My motivation to join the Everything Data mentorship program stems from my strong passion for data science and my desire to further develop my skills in this field.,Beginner,Yes,61.67,Yes
2024-11-27 12:01:00,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,my motivation is to learn and expand my knowledge to solve data science poblems,Elementary,Yes,61.0,Yes
2024-12-03 11:20:37,18-24 years,Female,Kenya,Twitter,1-3 years,Data science,7-14 hours,Upskill,I want to meet people in the same field and also get mentorship,Intermediate,Yes,62.33,No
2024-12-02 10:30:07,25-34 years,Male,Kenya,Twitter,Less than six months,Data science,more than 14 hours,Upskill,"I am motivated by my dire need to further my knowledge and understanding of data science. Through this mentorship, I will learn about advanced data science techniques, and develop a structured approach toward analysis and problem-solving.",Elementary,Yes,81.0,No
2024-11-27 21:27:04,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,i want to be a data analyst,Beginner,Yes,60.33,No
2024-11-28 19:23:05,25-34 years,Male,Kenya,Twitter,Less than six months,Data science,more than 14 hours,Upskill,I am a passionate mathematician hence my love for data driven solutions.,Elementary,No,59.67,No
2024-12-03 15:40:50,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,I recently developed an interest on statistics and data and would like to learn more and more about it,Beginner,Yes,67.67,No
2024-12-01 23:01:04,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Learn afresh,I do believe and have testified from those that have undergone your program that indeed you have what I need to gain the necessary skills and knowledge in data science,Beginner,Yes,62.0,No
2024-11-29 10:11:34,35-44 years,Male,Kenya,Twitter,6 months - 1 year,Data science,more than 14 hours,Upskill,I would like to interact with real world problems and solve and also get a mentor to help me in the field,Elementary,Yes,76.0,No
2024-12-03 14:14:49,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data science,7-14 hours,Upskill,To gain knowledge,Elementary,Yes,67.0,No
2024-12-03 16:25:30,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,more than 14 hours,Learn afresh,The hands-on program offers valuable real-world experience and mentorship to bridge the gap between theory and practice. It aligns with my goal of building a career in data analysis while contributing meaningfully to data-driven solutions.,Elementary,Yes,67.33,Yes
2024-12-02 18:17:15,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Portfolio,The mentorship will be a catalytic opportunity to be an overall erudite professional who yields the ability to hold a dynamic perspective in addressing finance issues using both data skills and domain knowledge in finance and its principles.,Beginner,Yes,62.0,No
2024-11-29 08:05:14,18-24 years,Male,Kenya,WhatsApp,6 months - 1 year,Data analysis,7-14 hours,Upskill,Desire to learn,Beginner,Yes,74.0,No
2024-11-28 21:37:53,25-34 years,Male,Kenya,Twitter,1-3 years,Data analysis,7-14 hours,Portfolio,My background knowledge in Computer Science drives me to keep learning Data field. I am passionate about applying data knowledge to solve daily life problems. I am always in way out to keep up with latest technology.,Elementary,Yes,65.33,No
2024-12-03 17:15:14,18-24 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Portfolio,"To horn my skills in data analysis
Land a data analyst role e.g an internship
Connect and collaborate with my fellow data analysts
Set up a learning platform to help upcoming data analysts shape their skills",Intermediate,Yes,69.33,No
2024-11-27 13:59:21,25-34 years,Male,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Upskill,The program is designed to accomodate anyone willing to learn.,Beginner,Yes,64.0,No
2024-12-02 20:03:27,25-34 years,Female,Kenya,Twitter,Less than six months,Data analysis,less than 6 hours,Upskill,Life is a continuous learning process and always strive to learn as much as you can.,Beginner,Yes,63.5,No
2024-12-01 14:40:53,18-24 years,Male,Kenya,WhatsApp,6 months - 1 year,Data analysis,7-14 hours,Upskill,Upskilling,Elementary,Yes,68.33,No
2024-11-27 09:15:49,25-34 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Upskill,My motivations is having access to mentors and connecting with peers enthusiastic about data,Beginner,Yes,70.33,Yes
2024-12-02 16:09:07,18-24 years,Male,Kenya,LinkedIn,1-3 years,Data analysis,more than 14 hours,Upskill,"To enhance my data analytics skills, gain insights from experienced mentors and advance my career in data-driven industries. This opportunity aligns with my passion for using data to drive impactful solutions and growth",Intermediate,Yes,68.33,Yes
2024-12-01 16:25:14,25-34 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Upskill,I want to join the Everything Data mentorship to leverage data-driven insights for my e-mobility startup. I’m eager to learn from experts and contribute to this vibrant community.,Elementary,Yes,69.67,No
2024-11-27 20:21:32,18-24 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,less than 6 hours,Upskill,To find a community like minded individuals so that I can learn from them and improve my skills. Self-learning is hard at the moment,Intermediate,Yes,80.0,No
2024-12-03 15:18:59,18-24 years,Female,Kenya,Word of mouth,6 months - 1 year,Data analysis,7-14 hours,Upskill,"I have strong passion for data analysis. After my graduation, I have been learning data analysis through YouTube videos. This mentorship will allow me to sharpen my skills and position myself for a successful career in data analysis.",Elementary,Yes,60.33,No
2024-11-30 09:50:29,18-24 years,Female,Kenya,Word of mouth,Less than six months,Data analysis,less than 6 hours,Upskill,My motivation to join the Everything Data mentorship program roots from my passion for Astrophysics and Astronomy and the need to leverage data from this fields to solve real-world problems through data-driven research under mentorship from experts.,Elementary,Yes,66.0,Yes
2024-11-28 16:27:08,18-24 years,Male,Kenya,LinkedIn,6 months - 1 year,Data analysis,more than 14 hours,Upskill,To get an opportunity to advance in my career as I also sharpen my skills,Elementary,Yes,79.5,No
2024-11-27 12:14:24,18-24 years,Male,Kenya,WhatsApp,1-3 years,Data analysis,7-14 hours,Upskill,Learning more on data,Elementary,Yes,69.0,No
2024-11-28 20:17:51,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,more than 14 hours,Upskill,Leaening with more experinced and mentors is a great opportunity,Intermediate,Yes,73.0,No
2024-12-02 22:29:23,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,more than 14 hours,Learn afresh,To learn more about data and upskill,Elementary,Yes,62.5,No
2024-12-02 16:25:30,25-34 years,Male,Kenya,Twitter,Less than six months,Data analysis,7-14 hours,Upskill,"To connect with other professionals in data, and obtain mentorships and networks for career development",Elementary,Yes,70.67,No
2024-11-27 09:19:43,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,7-14 hours,Upskill,I attended the graduation of the previous cohort and it was exciting,Intermediate,Yes,77.67,No
2024-12-03 10:14:52,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,more than 14 hours,Learn afresh,I've always wanted to start my data analytics journey but didn't have a means to start,Beginner,Yes,70.67,No
2024-12-02 10:31:52,25-34 years,Male,Kenya,Twitter,6 months - 1 year,Data analysis,more than 14 hours,Other,"I would like to be mentored by the industry experts in order to increase my employment chances the data field. I also want to improve my data skills and knowledge by connecting with like minded individuals, and I'm open to learning new things.",Elementary,Yes,68.67,Yes
2024-12-01 17:28:50,18-24 years,Male,Kenya,Twitter,Less than six months,Data analysis,less than 6 hours,Upskill,To be able to learn more about data analysis through an interesting path of having mentors who would both offer knowledge and accountability on my side,Elementary,Yes,86.0,Yes
2024-12-03 15:01:54,18-24 years,Male,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Upskill,Upkill on my data knowledge from a robust community.,Elementary,Yes,80.33,No
2024-12-02 14:57:07,25-34 years,Male,Kenya,Friend,4-6 years,Data analysis,7-14 hours,Upskill,My motivation is to enhance my expertise in data science and analytics while leveraging the guidance of experienced professionals to bridge the gap between academic knowledge and industry applications.,,Yes,72.0,No
2024-12-01 08:58:12,25-34 years,Female,Kenya,Instagram,Less than six months,Data analysis,7-14 hours,Upskill,"To upskill on data analysis, with a focus on its relevance to finance for planning, control and decision making",Beginner,Yes,59.33,No
2024-12-02 17:45:19,25-34 years,Male,Kenya,LinkedIn,Less than six months,Data analysis,more than 14 hours,Upskill,- I have wanted to learn data analysis and data science so when I saw the opportunity I was pleased. Learning data analysis will help me get closer to my career goals of becoming a marketer with data analysis so which means I can help businesses,Beginner,Yes,70.33,No
2024-11-27 10:08:24,25-34 years,Female,Kenya,Twitter,Less than six months,Data analysis,more than 14 hours,Learn afresh,I am deeply interested in learning data analysis so that I can gain skill and advantage in my career as a finance manager.,Beginner,Yes,67.33,Yes
2024-12-01 18:24:43,18-24 years,Female,Kenya,Twitter,6 months - 1 year,Data analysis,7-14 hours,Upskill,The desire to learn a new skill that is highly-marketable hence it will enable me to pursue bigger opportunities in terms of job search.,Elementary,Yes,69.0,No
2024-11-28 13:11:26,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Upskill,I would like to gain knowledge on the ever changing data scene. I am passionate about data and gaining skills that are relevant to the current trends in the job market will be a huge boost for me.,Beginner,Yes,61.33,Yes
2024-12-01 19:18:23,25-34 years,Female,Kenya,Word of mouth,6 months - 1 year,Data analysis,7-14 hours,Upskill,"I would like to refresh my data analysis skills, improve techniques like data visualization and processing, and build a strong portfolio. This program will help me apply data-driven insights to real-world challenges and gain practical experience.",Elementary,Yes,74.33,No
2024-11-27 15:50:22,18-24 years,Female,Kenya,WhatsApp,Less than six months,Data analysis,7-14 hours,Learn afresh,I am passionate about starting and building a career in data analysis/science hence the Everything Data mentorship program is a good platform to provide me with knowledge in this field since I do not have the ability to pay for such a course.,Beginner,Yes,70.67,No
