iter	Passed	Remaining
744	12632	4324
745	12656	4309
746	12679	4294
747	12700	4278
748	12710	4259
749	12729	4243
750	12739	4224
751	12759	4207
752	12779	4191
753	12799	4175
754	12815	4158
755	12826	4139
756	12845	4123
757	12865	4107
758	12885	4091
759	12905	4075
760	12929	4060
761	12949	4044
762	12972	4029
763	12991	4013
764	13010	3996
765	13029	3980
766	13042	3962
767	13060	3945
768	13079	3928
769	13098	3912
770	13117	3896
771	13139	3880
772	13159	3864
773	13183	3849
774	13206	3834
775	13227	3818
776	13249	3802
777	13270	3786
778	13290	3770
779	13303	3752
780	13322	3735
781	13341	3719
782	13360	3702
783	13378	3685
784	13397	3669
785	13417	3653
786	13435	3636
787	13454	3619
788	13467	3601
789	13486	3584
790	13504	3568
791	13524	3551
792	13536	3533
793	13551	3515
794	13570	3499
795	13586	3481
796	13604	3465
797	13622	3448
798	13633	3429
799	13652	3413
800	13670	3396
801	13689	3379
802	13708	3363
803	13728	3346
804	13747	3330
805	13761	3312
806	13779	3295
807	13798	3278
808	13802	3258
809	13821	3242
810	13840	3225
811	13858	3208
812	13877	3192
813	13893	3174
814	13911	3157
815	13930	3141
816	13946	3123
817	13964	3107
818	13987	3091
819	14005	3074
820	14018	3056
821	14028	3037
822	14045	3020
823	14063	3003
824	14082	2987
825	14100	2970
826	14118	2953
827	14136	2936
828	14154	2919
829	14162	2900
830	14179	2883
831	14197	2866
832	14215	2849
833	14225	2831
834	14243	2814
835	14261	2797
836	14280	2780
837	14299	2764
838	14318	2747
839	14335	2730
840	14354	2713
841	14369	2696
842	14387	2679
843	14406	2662
844	14424	2645
845	14442	2629
846	14461	2612
847	14469	2593
848	14487	2576
849	14495	2557
850	14507	2540
851	14514	2521
852	14532	2504
853	14551	2487
854	14561	2469
855	14579	2452
856	14598	2435
857	14616	2418
858	14635	2402
859	14655	2385
860	14675	2369
861	14695	2352
862	14707	2334
863	14726	2318
864	14745	2301
865	14764	2284
866	14783	2267
867	14801	2250
868	14819	2234
869	14835	2216
870	14847	2198
871	14864	2181
872	14871	2163
873	14890	2146
874	14908	2129
